Command,Enable,No_of_Params,Param1,Type1,Param2,Type2,Param3,Type3,Param4,Type4,Param5,Type5,Param6,Type6,Param7,Type7,Param8,Type8,Param9,Type9,Param10,Type10
LOOP.Start,TRUE,1,loop.iterations,numeric,,,,,,,,,,,,,,,,,,
LOOP.End,TRUE,0,,,,,,,,,,,,,,,,,,,,
Record,TRUE,0,,,,,,,,,,,,,,,,,,,,
2D.Frame.Scan,TRUE,1,frame.scan.settings,path,,,,,,,,,,,,,,,,,,
2D.Line.Scan,TRUE,1,line.scan.settings,path,,,,,,,,,,,,,,,,,,
Z.Stack,TRUE,1,z.stack.settings,path,,,,,,,,,,,,,,,,,,
Load.Settings.File,FALSE,1,all.variables,path,,,,,,,,,,,,,,,,,,
Pause,TRUE,1,wait.seconds,numeric,,,,,,,,,,,,,,,,,,
Move.To.Position,TRUE,3,macro.posx,numeric,macro.posy,numeric,macro.posz,numeric,,,,,,,,,,,,,,
Custom,FALSE,0,,,,,,,,,,,,,,,,,,,,
Fast.Z,TRUE,1,fast.z.settings,path,,,,,,,,,,,,,,,,,,
Slow.Z,TRUE,0,,,,,,,,,,,,,,,,,,,,
Tiling,TRUE,0,,,,,,,,,,,,,,,,,,,,
Preset.End,TRUE,0,,,,,,,,,,,,,,,,,,,,
